CO2,horse,type
341.97,300,Both
213.08,300,Both
346.44,300,Both
214.62,300,Both
350.08,300,Both
217.81,300,Both
365.49,300,Both
218.79,300,Both
482.93,425,Car
291.06,425,Car
412.8,425,Car
242.65,425,Car
364.59,425,Car
229.09,425,Car
487.96,425,Car
285.75,425,Car
428.2663595,425,Car
245.2280257,425,Car
236.366618,425,Car
371.4423368,425,Car
485.57,553,Car
294.7,553,Car
450.2,553,Car
274.86,553,Car
602.28,553,Car
351.27,553,Car
496.39,553,Car
295.43,553,Car
446.79,553,Car
273.25,553,Car
610.51,553,Car
354.67,553,Car
395.82,300,Both
239.22,300,Both
282.5,181,Truck
282.5,181,Truck
282.5,181,Truck
282.5,181,Truck
212.54,181,Truck
212.54,181,Truck
212.54,181,Truck
212.54,181,Truck
295.11,181,Truck
295.11,181,Truck
295.11,181,Truck
295.11,181,Truck
210.13,181,Truck
210.13,181,Truck
210.13,181,Truck
210.13,181,Truck
322.65,241,Both
224.65,241,Both
338.22,241,Both
224.8,241,Both
382.5934697,300,Both
246.4232731,300,Both
252.7437892,300,Both
375.4820652,300,Both
381.33,300,Both
230.28,300,Both
380.22,300,Both
242.89,300,Both
241.58,300,Both
390.19,300,Both
250.2012308,300,Both
379.1306399,300,Both
372.9927851,300,Both
241.5423528,300,Both
372.08,300,Both
232.18,300,Both
393.76,300,Both
232.87,300,Both
491.62,567,Truck
330.69,567,Truck
522.35,567,Truck
365.02,300,Truck
232.52,300,Truck
386.52,300,Truck
231.87,300,Truck
326.34,255,Truck
326.34,255,Truck
326.34,255,Truck
326.34,255,Truck
219.79,255,Truck
219.79,255,Truck
219.79,255,Truck
219.79,255,Truck
384.72,255,Truck
384.72,255,Truck
384.72,255,Truck
384.72,255,Truck
366.43,255,Truck
366.43,255,Truck
366.43,255,Truck
366.43,255,Truck
376.89,255,Truck
376.89,255,Truck
376.89,255,Truck
376.89,255,Truck
338.36,255,Truck
338.36,255,Truck
338.36,255,Truck
338.36,255,Truck
220.38,255,Truck
220.38,255,Truck
220.38,255,Truck
220.38,255,Truck
474.6,443,Truck
294.81,443,Truck
501.86,443,Truck
373.51,300,Truck
236.2,300,Truck
236.7764221,300,Truck
398.7159156,300,Truck
243.589217,300,Truck
403.85,300,Truck
253.94,300,Truck
421.37,300,Truck
392.45,300,Truck
248.42,300,Truck
420.99,300,Truck
470.2,443,Truck
297.51,443,Truck
503.03,443,Truck
317.6040369,241,Car
190.6767543,241,Car
315.7339889,241,Car
185.4932276,241,Car
315.89,241,Car
184.61,241,Car
235.78,335,Car
374.05,335,Car
454.03,335,Car
304.74,335,Car
198.4124197,211,Car
295.1562901,211,Car
303.1,208,Car
198.54,208,Car
282.67,211,Car
187.25,211,Car
324.84,214,Car
222.4813426,214,Car
303.98,214,Car
207.03,214,Car
288.67,208,Car
192.08,208,Car
244.47,122,Car
172.6,122,Car
251.55,122,Car
175.72,122,Car
230,122,Car
163.7,122,Car
173.88,122,Car
233.11,122,Car
232.51,134,Car
156.4,134,Car
163.3399949,134,Car
239.0611064,134,Car
170.3531579,134,Car
254.5071058,134,Car
244.0599905,134,Car
167.6045486,134,Car
255.7502525,134,Car
167.528247,134,Car
236.57,134,Car
156.15,134,Car
194.0098079,122,Car
272.4884017,122,Car
189.787774,122,Car
276.0283064,122,Car
250.75,122,Car
173.74,122,Car
176.57,122,Car
238.18,122,Car
245.08,122,Car
169.65,122,Car
210.72,122,Car
275.82,122,Car
194.28,122,Car
258.39,122,Car
268.9,180,Car
186.33,180,Car
266.64,180,Car
187.04,180,Car
258.66,180,Car
180.27,180,Car
256.72,180,Car
176.5,180,Car
190.98,189,Car
262.1027269,189,Car
187.1839312,189,Car
276.6900218,189,Car
292.98,189,Car
183.79,189,Car
265.242842,189,Car
189.603197,189,Car
188.6236741,189,Car
280.0962293,189,Car
301.47,189,Car
194.13,189,Car
276.81,180,Car
192.63,180,Car
266.75,180,Car
176.94,180,Car
257.38,180,Car
175.07,180,Car
267.47,180,Car
183.44,180,Car
195.52,180,Car
273.78,180,Car
195.26,180,Car
261.18,180,Car
206.8516239,180,Car
296.1090042,180,Car
203.25,180,Car
270.97,180,Car
271.9708968,228,Car
207.89401230000001,228,Car
203.7413886,228,Car
275.79,228,Car
194.47,228,Car
305.99,228,Car
205.32,228,Car
885,1200,Car
636,1200,Car
495,1200,Car
999,1200,Car
903,1200,Car
325.32014,237,Car
306.665,237,Car
195.463375,237,Car
310.4171931,237,Car
274.8182762,237,Car
300.71133,184,Both
170.69,184,Both
300.12829,184,Both
168.112,184,Both
289.6457,184,Both
162.443,184,Both
160.968,184,Both
284.79152,184,Both
353.81205,295,Both
193.722,295,Both
192.449,295,Both
372.5937564,295,Both
200.8907203,295,Both
385.4714,295,Both
217.856,295,Both
381.82446,295,Both
218.721,295,Both
359.61655,295,Both
205.242,295,Both
360.84485,295,Both
206.65,295,Both
490.51335,359,Car
271.092,359,Car
273.12,359,Car
485.87842,359,Car
370.22318,292,Car
224.691,292,Car
410.56653,283,Both
250.166,283,Both
413.62589,283,Both
254.34,283,Both
254.483,283,Both
510.55036,470,Car
281.842,470,Car
476.38942,470,Car
256.438,470,Car
448.19372,372,Car
253.891,372,Car
250.826,372,Car
474.54975,370,Car
272.198,370,Car
552.39543,707,Car
451.583,707,Car
319.409,707,Car
551.29889,707,Car
308.268,707,Car
438.965,707,Car
370.3176,292,Car
205.615,292,Car
197.456,292,Car
359.58772,292,Car
475.1244,359,Car
258.709,359,Car
233.399,292,Car
386.03239,292,Car
276.59398,158,Car
276.7576,158,Car
173.885,158,Car
174.537,158,Car
252.42547,160,Car
170.973,160,Car
251.5644,160,Car
170.158,160,Car
275.18603,158,Car
171.526,158,Car
275.79564,158,Car
172.241,158,Car
244.4832,160,Car
156.6,160,Car
156.6,160,Car
244.77624,160,Car
305.42522,184,Both
189.079,184,Both
301.18293,184,Both
188.301,184,Both
311.39393,184,Both
200.783,184,Both
313.72324,184,Both
201.049,184,Both
178.5453801,184,Car
311.2107469,184,Car
308.9534901,184,Car
293.52978,184,Both
179.039,184,Both
302.30642,184,Both
182.341,184,Both
381.31731,290,Truck
243.849,290,Truck
375.10981,290,Truck
238.933,290,Truck
399.00969,290,Truck
258.446,290,Truck
395.03893,290,Truck
256.199,290,Truck
521.0953,360,Truck
286.133,360,Truck
283.127,360,Truck
251.08039,100,Car
182.789,100,Car
282.64718,160,Both
193.197,160,Both
192.2496321,160,Car
291.3358213,160,Car
269.57371,160,Car
190.972,160,Car
270.01731,160,Car
191.085,160,Car
313.90709,160,Both
207.737,160,Both
339.48839,184,Truck
233.278,184,Truck
339.17983,184,Truck
234.108,184,Truck
340.20712,184,Both
211.04,184,Both
252.869,184,Truck
255.018,184,Truck
362.1362386,184,Truck
338.70241,184,Both
224.041,184,Both
333.12217,184,Both
224.901,184,Both
346.99261,271,Both
229.757,271,Both
346.63366,271,Both
228.423,271,Both
387.8945463,271,Both
240.9523569,271,Both
382.3387339,271,Both
206.9866687,184,Both
326.2695587,184,Both
340.35304,271,Both
219.886,271,Both
339.33748,271,Both
217.908,271,Both
324.29538,184,Both
193.09,184,Both
321.68836,184,Both
194.541,184,Both
366.93647,271,Both
243.311,271,Both
367.29376,271,Both
244.28,271,Both
340.22632,172,Truck
236.161,172,Truck
290.1,360,Truck
507.89322,360,Truck
359.7397,172,Truck
359.7397,172,Truck
359.7397,172,Truck
238.769,172,Truck
238.769,172,Truck
238.769,172,Truck
363.5842,172,Truck
363.5842,172,Truck
363.5842,172,Truck
239.86,172,Truck
239.86,172,Truck
239.86,172,Truck
377.9,290,Truck
249,290,Truck
268.2230611,290,Truck
421.9515798,290,Truck
531.4853879,360,Truck
319.9102261,360,Truck
384.45149,172,Truck
384.45149,172,Truck
384.45149,172,Truck
379.14767,172,Truck
379.14767,172,Truck
379.14767,172,Truck
259.406,172,Truck
259.406,172,Truck
259.406,172,Truck
259.268,172,Truck
259.268,172,Truck
259.268,172,Truck
563.07996,470,Truck
343.854,470,Truck
204.215,158,Truck
300.2058,158,Truck
214.56,158,Truck
304.24011,158,Truck
348.88845,172,Truck
277.615,172,Truck
201.8611563,160,Both
290.5048957,160,Both
320.0806735,180,Both
206.2660626,180,Both
302.9025,180,Both
297.09834,180,Both
188.411,180,Both
297.86191,180,Both
188.072,180,Both
276.08782,160,Both
195.021,160,Both
278.0666,160,Both
194.168,160,Both
331.5249654,180,Both
216.1570644,180,Both
218.3723264,180,Both
447.34155,290,Truck
318.829,290,Truck
302.756,290,Truck
426.39295,290,Truck
453.42397,290,Car
309.365,290,Car
429.94932,290,Truck
297.145,290,Truck
250.108,290,Truck
385.31775,290,Truck
388.56779,290,Truck
251.993,290,Truck
420.18817,290,Truck
257.66,290,Truck
417.7078,290,Truck
256.746,290,Truck
300.852,390,Truck
296.051,390,Truck
481.19085,390,Truck
476.22187,390,Truck
292.585,390,Truck
503.94486,390,Truck
310.425,390,Truck
311.998,390,Truck
483.1826,390,Truck
479.12308,390,Truck
415.3,240,Truck
415.3,240,Truck
415.3,240,Truck
413,240,Truck
413,240,Truck
413,240,Truck
272.1,240,Truck
272.1,240,Truck
272.1,240,Truck
273.9,240,Truck
273.9,240,Truck
273.9,240,Truck
247.7275022,230,Truck
247.7275022,230,Truck
247.7275022,230,Truck
385.3712789,230,Truck
385.3712789,230,Truck
385.3712789,230,Truck
387.3,240,Truck
387.3,240,Truck
387.3,240,Truck
386,240,Truck
386,240,Truck
386,240,Truck
261.1,240,Truck
261.1,240,Truck
261.1,240,Truck
261.1,240,Truck
261.1,240,Truck
261.1,240,Truck
261.3457495,240,Truck
261.3457495,240,Truck
261.3457495,240,Truck
397.8850292,240,Truck
397.8850292,240,Truck
397.8850292,240,Truck
334.4049683,184,Both
220.3503536,184,Both
614.21549,640,Car
354.838,640,Car
489.588,640,Car
583.19676,645,Car
314.95,645,Car
445.913,645,Car
514.92,558,Car
372.615,558,Car
496.3,558,Car
